Block ID,Property ID,Base property ID,Building name,Streetaddress,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers
1,611393,611393,Northbank Place East Tower,FlindersStreet,Melbourne (CBD),2009,,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
1,611394,611394,Northbank Place Central Tower,FlindersStreet,Melbourne (CBD),2009,,16,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,42,
1,611395,611395,Northbank Place West Tower,FlindersStreet,Melbourne (CBD),2009,,18,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
1,611396,611396,Batman Park,ASpencerStreet,Melbourne (CBD),,,2,Transport,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
1,108843,108843,Rebecca Walk,RebeccaWalk,Melbourne (CBD),1980,1996,1,Unoccupied - Unused,Not determined or not applicable,Access has not been rated,0,0,
2,103973,103973,Enterprize Park,FlindersStreet,Melbourne (CBD),,,1,Equipment Installation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,
2,111467,103973,Melbourne Aquarium,KingStreet,Melbourne (CBD),1999,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
4,103972,103972,Banana Alley Vaults No. 1 - 19,FlindersStreet,Melbourne (CBD),1900,1990,1,Entertainment/Recreation - Indoor,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1
4,104034,104034,Flinders Street Station,FlindersStreet,Melbourne (CBD),1910,,5,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1
4,608352,608352,Northbank                                         ,FlindersWalk,Melbourne (CBD),,2010,2,Public Display Area,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,
6,578324,573333,Transport,SwanstonStreet,Melbourne (CBD),2002,,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578321,573333,Atrium,SwanstonStreet,Melbourne (CBD),2002,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578328,573333,Carpark,SwanstonStreet,Melbourne (CBD),2002,,1,Parking - Commercial Covered,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,
6,578327,573333,Zinc at Fed Sq,SwanstonStreet,Melbourne (CBD),2002,,1,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578326,573333,Deakin Edge,SwanstonStreet,Melbourne (CBD),2002,,1,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,
6,578325,573333,Yarra Building,SwanstonStreet,Melbourne (CBD),2002,,4,Unoccupied - Under Renovation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,110655,110655,Princes Walk Vaults,PrincesWalk,Melbourne (CBD),1880,,1,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,
6,578320,573333,The Ian Potter Centre: NGV Australia,SwanstonStreet,Melbourne (CBD),2002,,4,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578319,573333,Alfred Deakin Building,SwanstonStreet,Melbourne (CBD),2002,,4,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578318,573333,East Shard,SwanstonStreet,Melbourne (CBD),2002,,4,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578317,573333,Melbourne Visitor Centre,SwanstonStreet,Melbourne (CBD),2002,,1,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578322,573333,Crossbar,SwanstonStreet,Melbourne (CBD),2002,,4,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
6,578323,573333,Square,SwanstonStreet,Melbourne (CBD),2002,,1,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
11,103992,103992,,FlindersStreet,Melbourne (CBD),1945,1990,4,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,1
11,103993,103993,Waterside Hotel,FlindersStreet,Melbourne (CBD),1925,,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
11,105293,105293,,KingStreet,Melbourne (CBD),1887,,3,Office,Low level of accessibility,All entrances have steps,1,0,
11,105294,105294,Melbourne Steamship CO.,KingStreet,Melbourne (CBD),1913,2010,6,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,20,0
