Block ID,Property ID,Base property ID,Building name,Streetaddress,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers
260,103271,103271, Hollyford Apartments,ElizabethStreet,Carlton,2001,0,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
255,101606,101606, Solo House,CardiganStreet,Carlton,1970,0,2,Office,Low level of accessibility,All entrances have steps,1,0,0
17,104027,104027,100 Flinders Street,FlindersStreet,Melbourne (CBD),1910,1988,6,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,1
520,621973,621973,100 Ormond Street,OrmondStreet,Kensington,2009,0,4,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,2,0
27,102067,102067,101 Collins Street,CollinsStreet,Melbourne (CBD),1991,0,51,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,244,1
252,111069,106250,104 Lygon Street,LygonStreet,Carlton,1890,0,2,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
252,111068,106250,106 Lygon Street,LygonStreet,Carlton,1890,0,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
520,597179,597179,108 Altona Street,AltonaStreet,Kensington,2005,0,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
17,104026,104026,108 Flinders St,FlindersStreet,Melbourne (CBD),2013,0,13,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
252,111067,106250,108 Lygon Street,LygonStreet,Carlton,1890,0,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
732,110482,110482,109 Clarendon,ClarendonStreet,Southbank,2010,0,34,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,100,0
252,111066,106250,110 Lygon Street,LygonStreet,Carlton,1890,0,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
47,625840,103597,111 Bourke Street,BourkeStreet,Melbourne (CBD),2009,0,22,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,513,1
252,111065,106250,112 Lygon Street,LygonStreet,Carlton,1890,0,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
17,104025,104025,114 Flinders Street Car Park,FlindersStreet,Melbourne (CBD),1990,0,6,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,30,0
252,111064,106250,114 Lygon Street,LygonStreet,Carlton,1890,0,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
37,102155,102155,120 Collins Street,CollinsStreet,Melbourne (CBD),1991,2005,50,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,80,1
252,111062,106250,120 Lygon Street,LygonStreet,Carlton,1890,0,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
47,602997,103597,121 Exhibition Street      ,ExhibitionStreet,Melbourne (CBD),2006,0,39,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
17,103925,103925,121 Flinders Lane,FlindersLane,Melbourne (CBD),1900,1988,7,Office,Low level of accessibility,All entrances have steps,1,0,0
252,111061,106250,122 Lygon Street,LygonStreet,Carlton,1890,0,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
